ID,Sales
883,151.0405556
884,131.6655556
885,96.37222222
886,132.1577778
887,111.2805556
888,74.33055556
889,68.77722222
890,109.0272222
891,103.8172222
892,65.83222222
893,82.84888889
894,94.36888889
895,146.4938889
896,100.275
897,128.17
898,141.565
899,91.61611111
900,125.5816667
901,71.33666667
902,76.90166667
903,98.83722222
904,60.62222222
905,67.58222222
906,83.62722222
907,77.87222222
908,70.86222222
909,72.23722222
910,105.0527778
911,106.0477778
912,133.6177778
913,85.69
914,121.8561111
915,119.865
916,105.975
917,109.27
918,116.205
919,79.6
920,69.865
921,124.675
922,74.865
923,110.9444444
924,107.8961111
925,117.8211111
926,160.9661111
927,149.8383333
928,73.33833333
929,158.3816667
930,98.69166667
931,68.45666667
932,77.55666667
933,94.57666667
934,99.26666667
935,82.95666667
936,95.32666667
937,84.09166667
938,105.415
939,126.425
940,77.825
941,123.835
942,112.0005556
1825,224.6105556
1826,123.9005556
1827,95.23666667
1828,120.0455556
1829,106.2744444
1830,114.1444444
1831,89.14944444
1832,99.30444444
1833,157.2494444
1834,98.25944444
1835,146.1638889
1836,124.0288889
1837,86.64888889
1838,168.9494444
1839,180.9344444
1840,135.0738889
1841,170.8388889
1842,149.8888889
1843,83.41722222
1844,82.27722222
1845,107.0872222
1846,135.8222222
1847,100.1822222
1848,73.31722222
1849,101.0822222
1850,117.0772222
1851,126.1172222
1852,148.1638889
1853,137.8338889
1854,180.2988889
1855,139.5144444
1856,186.3844444
1857,90.91944444
1858,106.1594444
1859,101.7294444
1860,74.50944444
1861,81.28944444
1862,147.6044444
1863,115.2544444
1864,74.26944444
1865,78.44944444
1866,91.53944444
1867,142.0394444
1868,154.8944444
1869,135.4994444
1870,141.3722222
1871,99.58888889
1872,59.05888889
1873,83.47111111
1874,122.4311111
1875,122.9911111
1876,178.7161111
1877,83.51611111
1878,136.8661111
1879,115.4461111
1880,136.1283333
1881,112.6883333
1882,129.5783333
1883,132.3383333
1884,128.8883333
2767,192.2422222
2768,144.9738889
2769,238.9911111
2770,176.4411111
2771,126.2027778
2772,128.9477778
2773,108.1638889
2774,135.5838889
2775,135.3588889
2776,171.2588889
2777,113.8777778
2778,230.6177778
2779,129.9227778
2780,118.3994444
2781,137.1044444
2782,172.0594444
2783,130.1144444
